date,sentiment_label,count
2021-12-09,positive,1
2023-01-14,positive,1
2023-11-19,positive,1
2023-11-29,positive,1
2024-05-01,negative,1
2024-05-29,positive,1
2024-06-05,positive,1
2024-09-27,neutral,1
2024-12-04,negative,1
2024-12-04,positive,1
2024-12-05,positive,1
2024-12-06,positive,1
2024-12-11,negative,1
2024-12-19,positive,1
2024-12-27,positive,1
2024-12-29,negative,1
2025-01-14,negative,1
2025-01-22,negative,1
2025-01-22,neutral,1
2025-04-08,negative,1
2025-04-16,neutral,2
2025-05-03,positive,1
2025-06-11,negative,1
2025-06-12,positive,1
2025-06-25,negative,1
2025-07-01,positive,1
2025-07-20,positive,1
2025-07-21,positive,1
2025-07-23,positive,1
2025-07-30,neutral,1
2025-07-31,negative,1
2025-08-11,negative,1
2025-08-16,positive,1
2025-08-18,positive,1
2025-08-26,neutral,1
2025-09-01,negative,1
2025-09-03,positive,1
2025-09-10,positive,1
2025-09-12,positive,1
2025-09-15,positive,1
2025-10-12,negative,1
2025-11-09,negative,1
2025-11-13,positive,1
2025-12-03,positive,2
2025-12-05,negative,1
2025-12-15,neutral,1
2025-12-22,positive,1
2026-01-11,neutral,1
